name,brand,price,ratings,specs_score,os,processor,ram,storage,graphics,screen_size,resoultion,cores,threads,warranty,image_url
Lenovo IdeaPad Slim 3 83K100CJIN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Lenovo,67990.0,4.2,55.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB LPDDR5 RAM,512 GB SSD,Integrated Intel UHD Graphics,15.28 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i1fsJnGQg-w280-h280/lenovo-ideapad-slim.webp
Asus Vivobook 14 S3407CA-LY084WS Laptop (Intel Core Ultra 7 255H/ 16GB/ 512GB SSD/ Win11),Asus,82990.0,4.55,68.0,Windows 11 OS,Intel Core Ultra 7 255H,16 GB DDR5 RAM,512 GB SSD,Intel Integrated Intel,14 inches,1920 x 1200 pixels,16 Cores (6P + 8E + 2LP-E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iNaorM7Pv-w280-h280/asus-vivobook-14-s34.webp
Acer Aspire Lite AL15-52H Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Acer,36541.0,4.75,56.0,Windows 11 OS,12th Gen Intel Core i5 12450H,16 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iDIxx1KCW-w280-h280/acer-aspire-lite-al1.webp
HP Victus 15-fb3012AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),HP,65990.0,4.1,72.0,Windows 11 OS,8th Gen AMD Ryzen 5 8645HS,16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ifsyyr3XR-w280-h280/hp-victus-15-fb3012a.webp
Apple MacBook Air 2022 Laptop (Apple M2/ 16GB/ 256GB SSD/ MacOS),Apple,66990.0,4.15,,Mac OS,Apple M2,16 GB Unified Memory RAM,256 GB SSD,10-Core GPU,13.6 inches,2560 x 1664 pixels,Octa Core,,1 Year Warranty,https://cdn1.smartprix.com/rx-iD0cxZkFL-w280-h280/apple-macbook-air-20.webp
Lenovo V15 G4 ‎82C70081GE Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,35490.0,4.35,61.0,Windows 11 OS,7th Gen AMD Ryzen 5 7520U,16 GB DDR5 RAM,512 GB SSD,Integrated AMD Radeon 610M Graphics,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iRe7ozJWD-w280-h280/lenovo-v15-g4-82c700.webp
Acer Aspire Lite 15 AL15-52 Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),Acer,29990.0,4.4,56.0,Windows 11 OS,12th Gen Intel Core i3 1215U,16 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,15.6 inches,1920 x 1080 pixels,Hexa Core (2P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ipav8pOjT-w280-h280/acer-aspire-lite-15.webp
Lenovo LOQ 83JE00U7IN Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB RTX 5050),Lenovo,115015.0,4.0,78.0,Windows 11 OS,14th Gen Intel Core i7 14700HX,16 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 5050,15.6 inches,1920 x 1080 pixels,20 Cores (8P + 12E), 28 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ix6vu2DKH-w280-h280/lenovo-loq-83je00u7i.webp
Lenovo ThinkBook 16 21MWA0AUIN Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win 11),Lenovo,47966.0,4.0,66.0,Windows 11 OS,7th Gen AMD Ryzen 7 7735HS,16 GB DDR5 RAM,512 GB SSD,AMD Radeon Graphics,16 inches,1920 x 1200 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ieJzDu0qc-w280-h280/lenovo-thinkbook-16.webp
Ultimus APEX Pro NU14U8INB43SN-CS Laptop (Celeron N4020/ 4GB/ 128GB EMMC/ Win11 Home),Ultimus,11990.0,4.45,,Windows 11 OS,12th Gen Intel Celeron Quad Core N4200,4 GB DDR4 RAM,128 GB SSD,Intel Integrated,14.1 inches,1366 x 768 pixels,Quad Core, 4 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-igT4Ajfx4-w280-h280/ultimus-apex-pro-nu1.webp
Acer Aspire 7 A715-79G UN.34PSI.001 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),Acer,54990.0,4.7,64.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iizWzm3cu-w280-h280/acer-aspire-7-a715-7.webp
Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS),Apple,91990.0,4.75,,Mac OS,Apple M4,16 GB  RAM,256 GB SSD,Apple 8 Core GPU,13.6 inches,2560 x 1664 pixels,10 Cores (4P + 6E),,1 Year Warranty,https://cdn1.smartprix.com/rx-iwKbUUYsj-w280-h280/apple-macbook-air-20.webp
HP 15-fc1004AU Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11 Home),HP,39990.0,4.5,61.0,Windows 11 OS,7th Gen AMD Ryzen 5 7535HS,8 GB DDR5 RAM,512 GB SSD,AMD Radeon AMD,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iUMIJg1DR-w280-h280/hp-15-fc1004au-lapto.webp
HP Victus 15-fa2382TX Gaming Laptop (14th Gen Core i5/ 24GB/ 512GB SSD/ Win11/ 6GB RTX4050),HP,86990.0,4.65,71.0,Windows 11 OS,14th Gen Intel Core i5 14450HX,24 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-isKM27Yv7-w280-h280/hp-victus-15-fa2382t.webp
Lenovo LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),Lenovo,72990.0,4.15,66.0,Windows 11 OS,12th Gen Intel Core i5 12450HX,16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iuprVsTCG-w280-h280/lenovo-loq-2024-83gs.webp
Gigabyte G6 KF-H3IN893KH Gaming Laptop (13th Gen Core i7/ 16GB RAM/ 512GB SSD/ Win 11/ 8GB Graphics),Gigabyte,76990.0,4.3,69.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB DDR5 RAM,512 GB SSD,8 GB NVIDIA GeForce RTX 4060,16 inches,1920 x 1200 pixels,10 Cores (6P + 4E), 16 Threads,2 Year Warranty,https://cdn1.smartprix.com/rx-ilgoqd9S1-w280-h280/gigabyte-g6-kf-h3in8.webp
HP Omen 16-ae0003TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB RTX 4070 Graph),HP,127990.0,4.2,,Windows 11 OS,14th Gen Intel Core i7 14700HX,24 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4070,16 inches,1920 x 1200 pixels,20 Cores (8P + 12E), 28 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iSi4Wm4lv-w280-h280/hp-omen-16-ae0003tx.webp
HP Victus 15-fb3004AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),HP,58990.0,4.35,70.0,Windows 11 OS,8th Gen AMD Ryzen 5 8645HS,16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iuLhIxRDo-w280-h280/hp-victus-15-fb3004a.webp
Asus Expertbook P1 14 P1403CVA-S60938WS Laptop (13th Gen Core i3/ 16GB/ 512GB/ Win11),Asus,38990.0,4.75,60.0,Windows 11 OS,13th Gen Intel Core i3 1315U,16 GB DDR5 RAM,512 GB SSD,Intel Integrated UHD,14 inches,1920 x 1080 pixels,Hexa Core (2P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-igmHFinXw-w280-h280/asus-expertbook-p1-1.webp
Gigabyte G5 MF5-H2IN354SH Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),Gigabyte,71399.0,4.65,73.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 4050,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,2 Year Warranty,https://cdn1.smartprix.com/rx-iTpqBHD26-w280-h280/gigabyte-g5-mf5-h2in.webp
Dell 14 Inspiron 5440 Laptop (Intel Core 3 100U / 16GB/ 512GB SSD/ Win11),Dell,37890.0,4.5,50.0,1 Year Warranty,Intel Core i3 100U,16 GB DDR5 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,,Hexa Core (2P + 4E), 8 Threads,2 USB 3.0 Ports,https://cdn1.smartprix.com/rx-iVkFHmCwt-w280-h280/dell-14-inspiron-544.webp
Infinix XBOOK B15 Series BL51A5 71028300082 Laptop (AMD Ryzen 7 5825U/ 8GB/ 512GB SSD/ Win 11 Home),Infinix,32990.0,4.15,62.0,Windows 11 OS,5th Gen AMD Ryzen 7 5825U,8 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i1U6ZPPZL-w280-h280/infinix-xbook-b15-se.webp
Asus ROG Strix SCAR 18 2025 G835LX-SA187WS Gaming Laptop (Intel Core Ultra 9 275HX/ 64GB/ 2TB SSD/ Win11/ 24GB RTX 5090 Graph),Asus,449990.0,4.7,,Windows 11 OS,Intel Core Ultra 9 275HX,64 GB DDR5 RAM,2 TB SSD,24 GB NVIDIA GeForce RTX 5090,18 inches,2560 x 1600 pixels,24 Cores (8P + 16E), 24 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ibiuNooHQ-w280-h280/asus-rog-strix-scar.webp
Asus TUF Gaming A15 FA566NCR-HN117W Laptop (AMD Ryzen 7 7435HS/ 16GB / 1TB SSD/ Win11 Home / 4GB Graph),Asus,70990.0,4.15,71.0,Windows 11 OS,7th Gen AMD Ryzen 7 7435HS,16 GB DDR5 RAM,1 TB SSD,4 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iTtYUWmtK-w280-h280/asus-tuf-gaming-a15.webp
HP 245 G10 B0WM3PT Laptop (AMD Ryzen 5 7520U/ 8GB RAM/ 512GB SSD/ Dos),HP,27637.0,4.2,52.0,DOS OS,7th Gen AMD Ryzen 5 7520U,8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,14 inches,1366 x 768 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ipa7Hyxb9-w280-h280/hp-245-g10-b0wm3pt-l.webp
Dell DC15255 Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11),Dell,49990.0,4.2,57.0,Windows 11 OS,7th Gen AMD Ryzen 7 7730U,16 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,15 inches,1920 x 1080 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-isCi1rCJo-w280-h280/dell-dc15255-laptop.webp
MSI Thin 15 B13UDX-128IN Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win 11/ 6GB RTX 3050),MSI,58990.0,4.45,62.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB DDR4 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,2 Year Warranty,https://cdn1.smartprix.com/rx-iQWeTL69a-w280-h280/msi-thin-15-b13udx-1.webp
Lenovo ThinkBook 16 21MWA0R4IN Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win 11),Lenovo,52990.0,4.4,68.0,Windows 11 OS,7th Gen AMD Ryzen 7 7735HS,16 GB DDR5 RAM,512 GB SSD,AMD Radeon Graphics,16 inches,1920 x 1200 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iGSH99zND-w280-h280/lenovo-thinkbook-16.webp
Lenovo IdeaPad Slim 3 15IAH8 83ER00KSIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,45750.0,4.55,60.0,Windows 11 OS,12th Gen Intel Core i5 12450H,16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iFiRUb3r3-w280-h280/lenovo-ideapad-slim.webp
Motorola Motobook 60 Laptop (Intel Core 5 210H/ 16GB/ 512GB SSD/ Win11 Home),Motorola,54990.0,4.15,56.0,Windows 11 OS,Intel Core 5 210H,16 GB DDR5 RAM,512 GB SSD,Intel Integrated,14 inches,2880 x 1880 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iKjrv2HOs-w280-h280/motorola-motobook-60.webp
HP 15-fd0466tu Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),HP,46990.0,4.05,52.0,Windows 11 OS,13th Gen Intel Core i5 1334U,8 GB DDR4 RAM,512 GB SSD,‎Intel Iris Xe Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iQ9UhFdVl-w280-h280/hp-15-fd0466tu-lapto.webp
Acer One 14 Z8-415 Laptop (11th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),Acer,25499.0,4.05,54.0,Windows 11 OS,11th Gen Intel Core i3 1115G4,8 GB DDR4 RAM,512 GB SSD,‎Intel Iris Xe Graphics,14 inches,1920 x 1080 pixels,Dual Core, 4 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ioXEIfxVI-w280-h280/acer-one-14-z8-415-l.webp
Lenovo Legion Pro 5 16IAX10 83F3007CIN Gaming Laptop (Intel Core Ultra 7 255HX/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),Lenovo,189990.0,4.15,,Windows 11 OS,Intel Core Ultra 7 255HX,32 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA® GeForce RTX 5060,16 inches,2560 x 1600 pixels,20 Cores (8P + 12E), 20 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iQePR6sia-w280-h280/lenovo-legion-pro-5.webp
Dell Latitude 3550 Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win11),Dell,38990.0,4.45,59.0,Windows 11 OS,13th Gen Intel Core i3 1315U,16 GB DDR5 RAM,512 GB SSD,Intel Integrated UHD Graphics,15.6 inches,1366 x 768 pixels,Hexa Core (2P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iks6uZA5W-w280-h280/dell-latitude-3550-l.webp
MSI Titan 18 HX AI A2XWJG-297IN Gaming Laptop (Intel Core Ultra 9-285HX/ 96GB/ 6TB SSD/ Win11 / 24GB Graphics RTX 5090),MSI,617990.0,4.75,,Windows 11 OS,Intel Core Ultra 9 285HX,96 GB DDR5 RAM,6 TB SSD,24 GB NVIDIA GeForce RTX 5090,18 inches,3840 x 2400 pixels,24 Cores (8P + 16E), 24 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iVznlIArG-w280-h280/msi-titan-18-hx-ai-a.webp
Dell Inspiron 14 5440 Business Laptop (Intel Core i3-1305U/ 8GB/ 512GB SSD/ Ubuntu),Dell,31990.0,4.35,,Ubuntu OS,13th Gen Intel Core i3 1305U,8 GB  RAM,512 GB SSD,Intel Graphics,14 inches,1920 x 1200 pixels,5 Cores (1P + 4E), 6 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iEfKsicO0-w280-h280/dell-inspiron-14-544.webp
HP 255 G10 Laptop (AMD Ryzen 3 7330U/ 16GB/ 1TB SSD/ Win11),HP,36250.0,4.4,57.0,Windows 11 OS,7th Gen AMD Ryzen 3 7330U,16 GB DDR4 RAM,1 TB SSD,AMD Radeon Graphics,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i8a1JoxOW-w280-h280/hp-255-g10-laptop-am.webp
Lenovo ThinkBook 16 21MWA0BSIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win 11),Lenovo,46290.0,4.75,65.0,Windows 11 OS,7th Gen AMD Ryzen 5 7535HS,16 GB DDR5 RAM,512 GB SSD,AMD Radeon Graphics,16 inches,1920 x 1200 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i0iMdi6rS-w280-h280/lenovo-thinkbook-16.webp
Dell Inspiron 15 3535 Laptop (AMD Ryzen R5-7530U/ 16GB/ 512GB SSD/ Win11),Dell,41994.0,4.45,52.0,Windows 11 OS,7th Gen AMD Ryzen 5 7530U,16 GB  RAM,512 GB SSD,AMD Radeon Graphics,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-id3vmGDCe-w280-h280/dell-inspiron-15-353.webp
Acer Aspire 3 A311-45 UN.354SI.006 Laptop (Intel Celeron N4500/ 8GB/ 128GB SSD/ Win11),Acer,15990.0,4.7,,Windows 11 OS,Intel Celeron N4500,8 GB DDR4 RAM,128 GB SSD,Intel Integrated UHD,11.6 inches,1366 x 768 pixels,Dual Core, 2 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iPPennwhJ-w280-h280/acer-aspire-3-a311-4.webp
Dell Inspiron 15 3535 Laptop (AMD Ryzen R5-7530U/ 16GB/ 512GB SSD/ Win11),Dell,41994.0,4.45,52.0,Windows 11 OS,7th Gen AMD Ryzen 5 7530U,16 GB  RAM,512 GB SSD,AMD Radeon Graphics,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-id3vmGDCe-w280-h280/dell-inspiron-15-353.webp
Acer Aspire 3 A311-45 UN.354SI.006 Laptop (Intel Celeron N4500/ 8GB/ 128GB SSD/ Win11),Acer,15990.0,4.7,,Windows 11 OS,Intel Celeron N4500,8 GB DDR4 RAM,128 GB SSD,Intel Integrated UHD,11.6 inches,1366 x 768 pixels,Dual Core, 2 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iPPennwhJ-w280-h280/acer-aspire-3-a311-4.webp
Asus Vivobook 16X K3605ZF-RP258WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,54990.0,4.05,66.0,Windows 11 OS,12th Gen Intel Core i5 12500H,16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,16 inches,1920 x 1200 pixels,12 Cores (4P + 8E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ivNhkNqps-w280-h280/asus-vivobook-16x-k3.webp
Dell Inspiron 3535 Laptop (AMD Ryzen R3-7320U/ 8GB/ 512GB SSD/ Win11),Dell,28990.0,4.5,50.0,Windows 11 OS,7th Gen AMD Ryzen 3 7320U,8 GB LPDDR5 RAM,512 GB SSD,AMD Radeon Graphics,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iy90AjLcu-w280-h280/dell-inspiron-3535-l.webp
MSI Katana 15 HX B14WEK 9S7-1587C1-264 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 8GB RTX 5050 Graph),MSI,127990.0,4.0,79.0,Windows 11 OS,14th Gen Intel Core i9 14900HX,16 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 5050,15.6 inches,2560 x 1440 pixels,24 Cores (8P + 16E), 32 Threads,2 Year Warranty,https://cdn1.smartprix.com/rx-imm6kOolT-w280-h280/msi-katana-15-hx-b14.webp
HP OmniBook 7 FR0066TU Laptop (Intel Ultra 5-225H/ 16GB/ 512GB SSD/ Win11),HP,81990.0,4.55,60.0,Windows 11 OS,Intel Core Ultra 5 225H,16 GB  RAM,512 GB SSD,Intel Arc GPU,14 inches,2880 x 1800 pixels,14 Cores (4P + 8E + 2LP-E), 14 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i3tAyRFpb-w280-h280/hp-omnibook-7-fr0066.webp
Acer Aspire Lite AL15-52H Laptop (Intel Core i5-13420H/ 16GB/ 512GB SSD/ Win11),Acer,48500.0,4.0,53.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB LPDDR5 RAM,512 GB SSD,Intel Integrated UHD,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iLbwJTB9d-w280-h280/acer-aspire-lite-al1.webp
Lenovo IdeaPad Slim 3 83K100HSIN Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),Lenovo,62350.0,4.3,54.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB LPDDR5 RAM,1 TB SSD,Integrated Intel UHD Graphics,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ixdCbada7-w280-h280/lenovo-ideapad-slim.webp
Asus Vivobook Go 15 E1504FA-BQ2343WS Laptop (AMD Ryzen 3 7320U / 16GB/ 512GB SSD/ Win11 Home),Asus,34990.0,4.6,51.0,Windows 11 OS,7th Gen AMD Ryzen 3 7320U,16 GB LPDDR5 RAM,512 GB SSD,AMD Radeon AMD,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iQEgCy8T3-w280-h280/asus-vivobook-go-15.webp
Acer Travel Lite TL04-51M Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Acer,39999.0,4.1,53.0,Windows 11 OS,13th Gen Intel Core i5 1334U,16 GB  RAM,512 GB SSD,‎Intel Iris Xe Graphics,14 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iTYu25r8H-w280-h280/acer-travel-lite-tl0.webp
HP 15-FD1444TU Laptop (Intel Core 5 120U/ 8GB/ 512GB SSD/ Win11 Home),HP,51940.0,4.25,,Windows 11 OS,Intel Core 5 Processor Series 1 120U,8 GB DDR4 RAM,512 GB SSD,Intel Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ivP7pZ1SI-w280-h280/hp-15-fd1444tu-lapto.webp
Asus TUF Gaming A15 FA506NCG-HN200WS Laptop (AMD Ryzen 7 7445HS/ 16GB / 512GB SSD/ Win11 / 4GB Graph),Asus,64900.0,4.6,69.0,Windows 11 OS,7th Gen AMD Ryzen 7 7445HS,16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iCLom02zc-w280-h280/asus-tuf-gaming-a15.webp
HP Victus 15-fb3125AX Gaming Laptop (AMD Ryzen 7 7445H/ 16GB/ 512GB SSD/ Win11/ RTX 3050),HP,68990.0,4.05,56.0,Windows 11 OS,7th Gen AMD Ryzen 7 7445H,16 GB DDR5 RAM,512 GB SSD,NVIDIA GeForce RTX 4050,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i9h2v5aQl-w280-h280/hp-victus-15-fb3125a.webp
Acer Travel Lite TL14-42M Laptop (AMD Ryzen 3 7330U/ 16GB/ 512GB SSD/ Win11),Acer,31990.0,4.3,61.0,Windows 11 OS,7th Gen AMD Ryzen 3 7330U,16 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,14 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-idDHWly8l-w280-h280/acer-travel-lite-tl1.webp
Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 512GB SSD/ MacOS/ 10-Core GPU),Apple,112900.0,4.25,,Mac OS,Apple M4,16 GB  RAM,512 GB SSD,Apple 10 Core GPU,13.6 inches,2560 x 1664 pixels,10 Cores (4P + 6E),,1 Year Warranty,https://cdn1.smartprix.com/rx-iwKbUUYsj-w280-h280/apple-macbook-air-20.webp
HP ‎15-fd0467TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,54990.0,4.2,57.0,Windows 11 OS,13th Gen Intel Core i5 1334U,16 GB DDR4 RAM,512 GB SSD,‎Intel Iris Xe Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iZHBMrOJe-w280-h280/hp-15-fd0467tu-lapto.webp
HP Victus 15-fb3025AX Gaming Laptop (AMD Ryzen 9 8945HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),HP,102411.0,4.05,77.0,Windows 11 OS,8th Gen AMD Ryzen 9 8945HS,16 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-isGZQwKCN-w280-h280/hp-victus-15-fb3025a.webp
Acer ALG ‎AL15G-53 Gaming Laptop (13th Gen Intel Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 3050 Graphics),Acer,64791.0,4.0,63.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i5SlYSEzW-w280-h280/acer-alg-al15g-53-ga.webp
Lenovo LOQ 15ARP9 83JC0046IN Gaming Laptop (AMD Ryzen 7 7435H/ 24GB/ 512GB SSD/ Win11/ 8GB RTX 4060 Graph),Lenovo,92490.0,4.65,72.0,Windows 11 OS,7th Gen AMD Ryzen 7 7435HS,24 GB DDR5 RAM,512 GB SSD,8 GB NVIDIA GeForce RTX 4060,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iJrP56MSY-w280-h280/lenovo-loq-15arp9-83.webp
