name,brand,price,ratings,specs_score,os,processor,ram,storage,graphics,screen_size,resoultion,cores,threads,warranty,image_url
MSI Katana 15 HX B14WGK-256IN Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB RTX 5070 Graph),MSI,159990.0,4.7,72.0,Windows 11 OS,14th Gen Intel Core i7 14650HX,16 GB  RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 5070,15.6 inches,2560 x 1440 pixels,16 Cores (8P + 8E), 24 Threads,2 Year Warranty,https://cdn1.smartprix.com/rx-ibTP4CCdK-w280-h280/msi-katana-15-hx-b14.webp
Lenovo ThinkBook 16 21MWA0AJIN Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ DOS),Lenovo,42990.0,4.55,56.0,DOS OS,7th Gen AMD Ryzen 5 7535HS,8 GB DDR5 RAM,512 GB SSD,AMD Radeon Graphics,16 inches,1920 x 1200 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-itV1RrmpC-w280-h280/lenovo-thinkbook-16.webp
HP 16-FD0640TU Laptop (Intel Core 5 120U/ 16GB/ 512GB SSD/ Win11 Home),HP,58490.0,4.3,55.0,Windows 11 OS,Intel Core 5 Processor Series 1 120U,16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iXoSfvKcB-w280-h280/hp-16-fd0640tu-lapto.webp
HP Victus 15-fb3124AX  Gaming Laptop (AMD Ryzen 7 7445H/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),HP,78990.0,4.0,61.0,Windows 11 OS,7th Gen AMD Ryzen 7 7445H,16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-io2TlM2t5-w280-h280/hp-victus-15-fb3124a.webp
Acer Swift Neo OLED AI SFN14-54H UN.35GSI.004 Laptop (Intel Core Ultra 5 115U/ 16GB/ 1TB SSD/Win 11),Acer,62990.0,4.45,54.0,Windows 11 OS,Intel Core Ultra 5 115U,16 GB LPDDR5 RAM,1 TB SSD,Intel Integrated Arc,14 inches,1920 x 1200 pixels,Octa Core (2P + 4E + 2LP-E), 10 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iGMdyFbqt-w280-h280/acer-swift-neo-oled.webp
HP Victus 15-fa2192TX  Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11/ 4GB Graphics),HP,64990.0,4.35,61.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iEnunPTVz-w280-h280/hp-victus-15-fa2192t.webp
Lenovo Yoga Slim 7 83CV008XIN Laptop (Intel Core Ultra 7 155H/ 32GB/ 1TB SSD/ Win11 Home),Lenovo,103500.0,4.7,62.0,Windows 11 OS,Intel Core Ultra 7 Series 1 155H,32 GB LPDDR5x RAM,1 TB SSD,Integrated Intel Arc Graphics,14 inches,1920 x 1200 pixels,16 Cores (6P + 8E + 2LP-E), 22 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ihUSlhe4I-w280-h280/lenovo-yoga-slim-7-8.webp
HP Victus 15-fb3130AX Gaming Laptop (AMD Ryzen 7 7445H/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050),HP,91990.0,4.65,66.0,Windows 11 OS,7th Gen AMD Ryzen 7 7445H,16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iHi5Iyh67-w280-h280/hp-victus-15-fb3130a.webp
Lenovo LOQ ‎‎15IAX9E 83LK00AUIN ‎AI Gaming Laptop (12th Gen Core i5/ 12GB/ 512GB SSD/ Win11/ 4GB RTX 3050A Graph),Lenovo,61990.0,4.3,59.0,Windows 11 OS,12th Gen Intel Core i5 12450HX,12 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050A,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iPeNgFfHf-w280-h280/lenovo-loq-15iax9e-8.webp
Asus TUF Gaming A15 FA506NCG-HN251WS Laptop (AMD Ryzen 7 7445HS/ 16GB / 1TB SSD/ Win11 / 4GB Graph),Asus,74990.0,4.55,59.0,1 Year Warranty,7th Gen AMD Ryzen 7 7445HS,1 TB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,,16 GB DDR5 RAM,,Backlit Keyboard,https://cdn1.smartprix.com/rx-i4dWVOVkQ-w280-h280/asus-tuf-gaming-a15.webp
HP Omen 16-ap0165AX Gaming Laptop (AMD Ryzen AI 7 350/ 24GB/ 1TB SSD/ Win11/ 8GB RTX 5050 Graph),HP,138990.0,4.1,69.0,Windows 11 OS,AMD Ryzen AI 7 350,24 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 5050,16 inches,1920 x 1200 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i7xBHcRqN-w280-h280/hp-omen-16-ap0165ax.webp
Lenovo IdeaPad Slim 3 15IAH8 83ER00MDIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,47400.0,4.6,59.0,Windows 11 OS,12th Gen Intel Core i5 12450H,16 GB LPDDR5 RAM,512 GB SSD,Intel Integrated UHD Graphics,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iWDENBm1h-w280-h280/lenovo-ideapad-slim.webp
MSI Raider 18 HX AI A2XWJG-253IN Gaming Laptop (Intel Core Ultra 9 285HX/ 64GB/ 4TB SSD/ Win11/ 24GB RTX 5090 Graph),MSI,490006.0,4.35,,Windows 11 OS,14th Gen Intel Core i9 14900HX,64 GB DDR5 RAM,4 TB SSD,24 GB NVIDIA GeForce RTX 5090,18 inches,3840 x 2400 pixels,24 Cores (8P + 16E), 32 Threads,2 Year Warranty,https://cdn1.smartprix.com/rx-iJD7Goucn-w280-h280/msi-raider-18-hx-ai.webp
Lenovo IdeaPad Flex 5 14ALC7 82R900HJIN Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,62490.0,4.1,65.0,Windows 11 OS,5th Gen AMD Ryzen 7 5700U,16 GB DDR4 RAM,512 GB SSD,AMD Radeon,14 inches,1920 x 1200 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-izDrrbadC-w280-h280/lenovo-ideapad-flex.webp
Acer Aspire 7 A715-79G UN.U2KSI.001 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),Acer,69990.0,4.5,62.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ieS6F9LJa-w280-h280/acer-aspire-7-a715-7.webp
Lenovo IdeaPad Slim 3 15IAH8 83ER00MCIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,47490.0,4.65,57.0,Windows 11 OS,12th Gen Intel Core i5 12450H,16 GB LPDDR5 RAM,512 GB SSD,Intel Integrated UHD Graphics,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iUpQtdTH0-w280-h280/lenovo-ideapad-slim.webp
Alienware 18 Area-51 Gaming Laptop (Intel Core Ultra 9 275HX/ 32GB/ 2TB SSD/ Win 11/ 16GB RTX5080),Alienware,414490.0,4.7,,Windows 11 OS,Intel Core Ultra 9 275HX,32 GB DDR5 RAM,2 TB SSD,16 GB NVIDIA GEFORCE RTX 5080,18 inches,2560 x 1600 pixels,24 Cores (8P + 16E), 24 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iRwEALFHi-w280-h280/alienware-18-area-51.webp
MSI Crosshair A16 HX D8WGKG-046IN Gaming Laptop (AMD Ryzen 9 8940HX / 16GB/ 1TB SSD/ Win11 Home/ 8GB Graphics RTX 5070),MSI,197990.0,4.0,,Windows 11 OS,8th Gen AMD Ryzen 9 8940HX,16 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 5070,16 inches,2560 x 1600 pixels,16 Cores, 32 Threads,2 Year Warranty,https://cdn1.smartprix.com/rx-iLwYaxKPw-w280-h280/msi-crosshair-a16-hx.webp
Lenovo IdeaPad Slim 3 83K100N9IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Lenovo,64490.0,4.45,51.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB LPDDR5 RAM,512 GB SSD,Integrated Intel Graphics,15.3 inches,1920 x 1200 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iuwH7eZrs-w280-h280/lenovo-ideapad-slim.webp
